# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,field2,part (m/s),datatypes/templates,divider/values,unit,comment,field3,part (m/s),datatypes/templates,divider/values,unit,comment,field4,part (m/s),datatypes/templates,divider/values,unit,comment
r,hmu,Standby,,,,B503,020003,,,HEX:6,,,,,,,,,,,,,,,,,,,,,
# START Unbekannte Nachrichten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,hmu,UnbekannteAbfrage60sB507h,,,08,B507,0900,,,HEX:*,,,Unbekannte Abfrage all 60 Sekunden vom Sensocomfort an ArothermPlus,,,,,,,,,,,,,,,,,,
r,,WarmwasserErtrag,,,,,FF3216,,,energy,,kWh,Summe Ertrag Warmwasser,,,,,,,,,,,,,,,,,,
r,,COPWarmwasser,,,,,FF3217,,,UIN,10, ,Summe Coefficient of Performance Warmwasser,,,,,,,,,,,,,,,,,,
r,,ch_18,,,,,FF3218,,,UIN,,,,,,,,,,,,,,,,,,,,,
r;w,,SollTemperaturWaerme,(with intergrated System thermostat),,,,FF321C,,,D2C,,°C,SollTemperatur Temperatur Waerme (°C),,,,,,,,,,,,,,,,,,
r,,KompressorSperrzeit,,,,,FF321E,,,UIN,,min,,,,,,,,,,,,,,,,,,,
r,,VorlauftemperaturGewichteteMittlere,,,,,FF321F,,,D2C,10,°C,,,,,,,,,,,,,,,,,,,
r,,DurchflussTemperatur,,,,,FF3220,,,D2C,,°C,,,,,,,,,,,,,,,,,,,
r,,EnergieIntegral,,,,,FF3221,,,integral,,°min,Aktueller energy integral in °min,,,,,,,,,,,,,,,,,,
r,,SourceTempInput,,,,,FF3222,,,D2C,,°C,,,,,,,,,,,,,,,,,,,
r,,AktuellerEnergieErtrag,,,,,FF3223,,,D1B,10,kW,,,,,,,,,,,,,,,,,,,
r,,AktuellerEnergieVerbrauch,,,,,FF3224,,,D1B,10,kW,,,,,,,,,,,,,,,,,,,
r,,KompressorLeistungsstufe,,,,,FF3225,,,UIN,10,%,,,,,,,,,,,,,,,,,,,
r,,LuftansaugTemperatur,,,,,FF3226,,,D2C,,°C,,,,,,,,,,,,,,,,,,,
r,,SourceTempOutput,,,,,FF3227,,,D2C,,°C,,,,,,,,,,,,,,,,,,,
r,,ErtragKuehlungMonat,,,,,FF322A,,,energy,10,kWh,,,,,,,,,,,,,,,,,,,
r,,COPKuehlungMonat,,,,,FF322B,,,energy,10, ,SEER,,,,,,,,,,,,,,,,,,
r,,ErtragKuehlung,,,,,FF322C,,,energy,10,kWh,Summe Ertrag Kuehlung,,,,,,,,,,,,,,,,,,
r,,COPKuehlung,,,,,FF322D,,,energy,10, ,Summe Coefficient of Performance Kuehlung,,,,,,,,,,,,,,,,,,
r,,WasserDurchflussMenge,,,,,FF323C,,,UIN,,l/h,,,,,,,,,,,,,,,,,,,
r,,WasserDurchflussDruck,,,,,FF323D,,,D2C,4,bar,,,,,,,,,,,,,,,,,,,
r,,QuellDruck,,,,,FF323E,,,D2C,4,bar,,,,,,,,,,,,,,,,,,,
r,,BetriebsstundenSumme,,,,,FF3240,,,UIN,,stunden,,,,,,,,,,,,,,,,,,,
r,,BetriebsstundenWaerme,,,,,FF3241,,,UIN,,stunden,,,,,,,,,,,,,,,,,,,
r,,BetriebsstundenKuehlung,,,,,FF3243,,,UIN,,stunden,,,,,,,,,,,,,,,,,,,
r,,BetriebsstundenWarmwasser,,,,,FF3244,,,UIN,,stunden,,,,,,,,,,,,,,,,,,,
r,,ch_46,,,,,FF3246,,,UIN,,,,,,,,,,,,,,,,,,,,,
r,,ch_49,,,,,FF3249,,,UIN,,,,,,,,,,,,,,,,,,,,,
r,,ch_4a,,,,,FF324A,,,UIN,,,,,,,,,,,,,,,,,,,,,
r,,ch_4b,,,,,FF324B,,,UIN,,,,,,,,,,,,,,,,,,,,,
r,,ch_4c,,,,,FF324C,,,UIN,,,,,,,,,,,,,,,,,,,,,
r,,SummeEnergieVerbrauch,,,,,FF324D,,,energy,,kWh,,,,,,,,,,,,,,,,,,,
r,,ch_63,,,,,FF3263,,,UIN,,,,,,,,,,,,,,,,,,,,,
# FF33xx: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;w,,SperrzeitMindestdauer,,,,,FF3319,,,UCH,,min,SperrzeitMindestdauer (Minuten),,,,,,,,,,,,,,,,,,
r;w,,KuehlungErlaubt,,,,,FF331B,,,yesno,,,Kuehlung Erlaubt (ja/nein),,,,,,,,,,,,,,,,,,
r,,HeizstabBetriebsmodus,,,,,FF331E,,,UCH,0=off;1=on,,HeizstabBetriebsmodus (An/Aus),,,,,,,,,,,,,,,,,,
r;w,,KompressorStromBegrenzung,,,,,FF331F,,,UCH,,A,Kompressor elektrische Strombegrenzung (Ampere),,,,,,,,,,,,,,,,,,
# FF34xx: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,KompressorBetriebsstunden,,,,,FF3400,,,UIN,,stunden,,,,,,,,,,,,,,,,,,,
r,,KompressorStarts,,,,,FF3401,,,UIN,,,,,,,,,,,,,,,,,,,,,
r,,UmwaelzpumpeWaermeBetriebsstunden,,,,,FF3402,,,UIN,,stunden,,,,,,,,,,,,,,,,,,,
r,,UmwaelzpumpeWaermeStarts,,,,,FF3403,,,UIN,,,,,,,,,,,,,,,,,,,,,
